,Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
25,46,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87900,700.0,88600,50000,SUV
26,46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81900,27800.0,109700,68000,SUV
27,46,Male,Salaried,Single,Post Graduate,2,No,No,No,88500,0.0,88500,60000,SUV
28,46,Male,Salaried,Married,Post Graduate,3,No,No,No,87700,0.0,87700,56000,SUV
29,46,Female,Salaried,Married,Post Graduate,2,No,No,Yes,98300,70700.0,169000,61000,SUV
30,46,Male,Salaried,Married,Post Graduate,4,No,No,Yes,94900,70700.0,165600,67000,SUV
31,46,Male,Business,Married,Graduate,2,Yes,No,Yes,91100,70000.0,161100,66000,SUV
32,46,Male,Business,Married,Post Graduate,3,No,No,Yes,79800,40100.0,119900,56000,SUV
33,46,Female,Salaried,Married,Graduate,4,No,No,Yes,74500,40900.0,115400,61000,SUV
34,45,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81700,27000.0,108700,52000,SUV
35,45,Male,Salaried,Single,Post Graduate,2,Yes,No,No,84700,0.0,84700,59000,SUV
36,45,Female,Business,Married,Post Graduate,3,No,No,No,82200,0.0,82200,61000,SUV
37,45,Male,Salaried,Married,Graduate,3,No,No,No,79600,0.0,79600,54000,SUV
38,45,Female,Salaried,Married,Post Graduate,3,No,No,No,77600,0.0,77600,64000,SUV
39,45,Male,Business,Married,Graduate,3,Yes,No,No,77700,0.0,77700,53000,SUV
40,53,Female,Salaried,Married,Graduate,1,Yes,No,No,72100,0.0,72100,60000,SUV
41,53,Female,Salaried,Married,Post Graduate,4,No,No,Yes,96600,70300.0,166900,66000,SUV
42,52,Female,Salaried,Married,Post Graduate,3,No,No,Yes,94900,60300.0,155200,55000,SUV
43,52,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87600,600.0,88200,51000,SUV
44,52,Male,Salaried,Married,Graduate,3,Yes,No,Yes,72800,50800.0,123600,50000,SUV
45,52,Female,Business,Married,Graduate,3,Yes,No,Yes,73500,40500.0,114000,59000,SUV
46,52,Female,Salaried,Married,Post Graduate,4,Yes,No,No,90000,0.0,90000,61000,SUV
47,52,Female,Business,Married,Post Graduate,1,No,No,No,87100,0.0,87100,62000,SUV
48,52,Male,Business,Married,Post Graduate,4,No,No,No,79700,0.0,79700,63000,SUV
49,52,Female,Business,Married,Post Graduate,4,No,No,Yes,90300,80100.0,170400,69000,SUV
50,52,Female,Salaried,Married,Graduate,3,No,No,Yes,72200,60700.0,132900,57000,SUV
51,52,Male,Business,Married,Post Graduate,3,Yes,No,Yes,78300,50400.0,128700,52000,SUV
52,52,Male,Salaried,Married,Post Graduate,3,No,No,Yes,80900,40900.0,121800,50000,SUV
53,52,Female,Salaried,Married,Post Graduate,3,No,No,No,90200,0.0,90200,57000,SUV
54,51,Male,Salaried,Married,Graduate,3,No,No,No,79500,0.0,79500,50000,SUV
55,51,Female,Business,Married,Graduate,2,No,No,No,73400,0.0,73400,68000,SUV
56,51,Female,Salaried,Married,Post Graduate,2,No,No,Yes,90600,80400.0,171000,69000,SUV
57,54,Male,Business,Married,Post Graduate,2,No,No,Yes,93900,60200.0,154100,57000,SUV
58,54,Male,Salaried,Married,Post Graduate,3,No,No,Yes,82200,60900.0,143100,54000,SUV
59,54,Male,Salaried,Married,Graduate,3,Yes,No,Yes,80600,400.0,81000,51000,SUV
60,54,Female,Salaried,Married,Post Graduate,3,Yes,No,No,85100,0.0,85100,54000,SUV
61,54,Male,Salaried,Married,Post Graduate,3,No,No,No,82300,0.0,82300,64000,SUV
62,54,Female,Salaried,Married,Post Graduate,3,No,No,No,82200,0.0,82200,58000,SUV
63,54,Female,Business,Married,Post Graduate,3,No,No,No,81600,0.0,81600,59000,SUV
64,54,Female,Business,Married,Post Graduate,2,Yes,No,No,79200,0.0,79200,53000,SUV
65,53,Female,Business,Married,Post Graduate,3,No,No,Yes,82300,60100.0,142400,55000,SUV
66,53,Female,Business,Married,Graduate,2,No,No,Yes,70600,70200.0,140800,62000,SUV
67,53,Male,Salaried,Married,Graduate,4,Yes,No,Yes,80900,30000.0,110900,49000,SUV
68,53,Male,Business,Married,Graduate,2,Yes,No,Yes,79300,40300.0,119600,55000,SUV
69,53,Female,Salaried,Married,Graduate,3,Yes,No,Yes,72000,40800.0,112800,66000,SUV
70,53,Male,Salaried,Married,Post Graduate,3,No,No,No,88200,0.0,88200,56000,SUV
71,53,Male,Business,Married,Post Graduate,3,No,No,No,82300,0.0,82300,61000,SUV
72,53,Male,Salaried,Married,Post Graduate,3,Yes,No,No,81000,0.0,81000,58000,SUV
73,53,Female,Business,Married,Graduate,3,No,No,No,78400,0.0,78400,60000,SUV
74,53,Female,Business,Married,Graduate,2,No,No,No,75400,0.0,75400,62000,SUV
75,52,Female,Salaried,Married,Post Graduate,4,No,No,Yes,93900,70800.0,164700,68000,SUV
76,52,Male,Salaried,Married,Graduate,2,No,No,Yes,91000,70800.0,161800,60000,SUV
77,52,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89700,900.0,90600,51000,SUV
78,52,Female,Business,Married,Post Graduate,3,Yes,No,Yes,78800,60700.0,139500,55000,SUV
79,52,Male,Business,Married,Post Graduate,2,Yes,No,Yes,89800,40500.0,130300,53000,SUV
80,52,Male,Business,Single,Post Graduate,2,No,No,No,89900,0.0,89900,62000,SUV
81,52,Male,Salaried,Married,Post Graduate,4,No,No,No,88700,0.0,88700,64000,SUV
82,52,Female,Salaried,Married,Post Graduate,2,No,No,No,88900,0.0,88900,54000,SUV
83,52,Female,Salaried,Married,Post Graduate,3,No,No,No,83300,0.0,83300,52000,SUV
84,52,Female,Salaried,Married,Post Graduate,3,No,No,No,79000,0.0,79000,57000,SUV
85,52,Female,Salaried,Married,Post Graduate,2,No,No,No,77500,0.0,77500,58000,SUV
86,52,Male,Salaried,Married,Graduate,3,No,No,No,76800,0.0,76800,53000,SUV
87,51,Male,Salaried,Married,Post Graduate,3,No,No,Yes,92600,60900.0,153500,55000,SUV
88,51,Male,Salaried,Married,Graduate,3,No,No,Yes,71700,60200.0,131900,55000,SUV
89,51,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89500,40200.0,129700,60000,SUV
90,51,Female,Business,Married,Graduate,3,No,No,Yes,76800,45000.0,121800,51000,SUV
91,51,Male,Salaried,Married,Graduate,3,Yes,No,Yes,77000,40600.0,117600,57000,SUV
92,51,Male,Salaried,Married,Post Graduate,4,No,No,No,86000,0.0,86000,67000,SUV
93,51,Male,Salaried,Single,Post Graduate,0,Yes,No,No,86900,0.0,86900,51000,SUV
94,51,Female,Business,Married,Post Graduate,3,Yes,No,No,85900,0.0,85900,51000,SUV
95,51,Male,Business,Married,Post Graduate,2,No,No,No,79900,0.0,79900,63000,SUV
96,51,Male,Salaried,Married,Post Graduate,3,No,No,No,78400,0.0,78400,66000,SUV
97,51,Male,Salaried,Married,Graduate,4,No,No,No,74800,0.0,74800,64000,SUV
98,50,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,99300,70000.0,169300,66000,SUV
99,50,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98600,60500.0,159100,56000,SUV
100,50,Male,Salaried,Married,Graduate,3,No,No,Yes,76100,50700.0,126800,53000,SUV
101,50,Male,Business,Married,Post Graduate,2,Yes,No,No,82700,0.0,82700,61000,SUV
102,50,Male,Salaried,Married,Graduate,4,No,No,No,72000,0.0,72000,70000,SUV
103,49,Male,Business,Married,Graduate,4,No,No,Yes,92300,70000.0,162300,67000,SUV
104,49,Female,Salaried,Married,Post Graduate,3,No,No,Yes,80600,40600.0,121200,69000,SUV
105,49,Female,Business,Married,Post Graduate,3,No,No,No,87500,0.0,87500,53000,SUV
106,49,Male,Salaried,Married,Post Graduate,4,No,No,No,80100,0.0,80100,64000,SUV
107,49,Female,Salaried,Married,Post Graduate,3,No,No,No,78700,0.0,78700,68000,SUV
108,49,Female,Business,Married,Post Graduate,4,No,No,No,78100,0.0,78100,65000,SUV
109,49,Male,Salaried,Married,Post Graduate,3,No,No,No,78200,0.0,78200,58000,SUV
110,49,Male,Salaried,Single,Graduate,2,Yes,No,No,77600,0.0,77600,67000,SUV
111,48,Female,Business,Married,Graduate,3,No,No,Yes,90300,70800.0,161100,62000,SUV
112,48,Female,Salaried,Married,Graduate,2,No,No,Yes,77900,60300.0,138200,53000,SUV
113,48,Male,Salaried,Married,Post Graduate,2,Yes,No,No,82300,0.0,82300,59000,SUV
114,48,Male,Salaried,Married,Post Graduate,2,No,No,No,81600,0.0,81600,65000,SUV
115,48,Female,Salaried,Married,Post Graduate,3,No,No,No,78000,0.0,78000,59000,SUV
116,47,Male,Business,Married,Graduate,4,Yes,No,Yes,86000,80500.0,166500,69000,SUV
117,47,Male,Salaried,Married,Graduate,2,No,No,Yes,86100,70800.0,156900,58000,SUV
118,47,Female,Salaried,Married,Graduate,3,No,No,Yes,79000,50400.0,129400,52000,SUV
119,47,Male,Business,Married,Post Graduate,2,No,No,Yes,86600,40400.0,127000,68000,SUV
120,47,Female,Salaried,Married,Graduate,1,Yes,No,Yes,77800,40300.0,118100,69000,SUV
121,47,Male,Business,Married,Post Graduate,4,Yes,No,Yes,89500,27700.0,117200,62000,SUV
122,47,Female,Business,Married,Graduate,3,Yes,No,Yes,76300,40600.0,116900,61000,SUV
123,47,Female,Salaried,Married,Graduate,3,No,No,Yes,76200,35800.0,112000,63000,SUV
124,47,Female,Salaried,Married,Post Graduate,3,No,No,Yes,78000,26600.0,104600,57000,SUV
125,47,Male,Salaried,Single,Post Graduate,2,Yes,No,No,87200,0.0,87200,49000,SUV
126,47,Female,Salaried,Married,Post Graduate,3,No,No,No,81200,0.0,81200,58000,SUV
127,47,Female,Business,Married,Post Graduate,3,Yes,No,No,80600,0.0,80600,69000,SUV
128,47,Female,Business,Single,Graduate,0,Yes,No,No,73300,0.0,73300,50000,SUV
129,47,Male,Salaried,Married,Graduate,3,No,No,No,71700,0.0,71700,51000,SUV
130,46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,98900,60000.0,158900,56000,SUV
131,46,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,97700,60000.0,157700,58000,SUV
132,46,Male,Salaried,Married,Post Graduate,2,No,No,Yes,82200,40900.0,123100,66000,SUV
133,46,Female,Salaried,Married,Graduate,3,No,No,Yes,72600,900.0,73500,51000,SUV
134,46,Female,Business,Married,Graduate,3,No,No,Yes,74200,27900.0,102100,52000,SUV
135,46,Female,Salaried,Married,Post Graduate,3,Yes,No,No,90700,0.0,90700,50000,SUV
136,46,Female,Salaried,Married,Post Graduate,3,No,No,No,84000,0.0,84000,58000,SUV
137,46,Female,Business,Married,Post Graduate,3,No,No,No,84800,0.0,84800,57000,SUV
138,46,Female,Salaried,Single,Post Graduate,0,Yes,No,No,80200,0.0,80200,49000,SUV
139,46,Male,Salaried,Married,Post Graduate,2,Yes,No,No,79200,0.0,79200,50000,SUV
140,46,Female,Salaried,Married,Graduate,4,No,No,No,70400,0.0,70400,49000,SUV
141,45,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,71000,60800.0,131800,57000,SUV
142,45,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,84300,40000.0,124300,43000,Sedan
143,45,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53800,70100.0,123900,64000,SUV
144,45,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,85200,38100.0,123300,53000,Sedan
145,45,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,85600,38200.0,123800,47000,Sedan
146,45,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,80400,40400.0,120800,37000,SUV
147,45,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,79700,40300.0,120000,52000,Sedan
148,45,Male,Business,Married,Post Graduate,2,Yes,No,Yes,77100,40900.0,118000,35000,Sedan
149,45,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,76000,40200.0,116200,42000,Sedan
150,45,Female,Business,Married,Post Graduate,2,Yes,No,Yes,82300,30200.0,112500,33000,Sedan
151,45,Male,Salaried,Married,Post Graduate,4,No,No,Yes,71700,40600.0,112300,61000,SUV
152,45,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,71800,38500.0,110300,43000,Sedan
153,45,Female,Salaried,Married,Graduate,2,No,Yes,Yes,64400,40400.0,104800,37000,SUV
154,45,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73000,30000.0,103000,34000,Sedan
155,45,Male,Salaried,Married,Graduate,3,No,No,Yes,49600,50900.0,100500,52000,SUV
156,45,Female,Salaried,Married,Graduate,1,Yes,No,Yes,61300,35100.0,96400,40000,SUV
157,45,Female,Business,Married,Graduate,3,No,No,Yes,50500,40900.0,91400,62000,SUV
158,45,Female,Salaried,Married,Post Graduate,2,No,No,No,78100,0.0,78100,52000,SUV
159,45,Male,Salaried,Married,Post Graduate,1,Yes,No,No,78600,0.0,78600,50000,Sedan
160,45,Female,Salaried,Single,Post Graduate,1,No,No,No,77000,0.0,77000,40000,Sedan
161,45,Female,Salaried,Married,Post Graduate,1,No,Yes,No,73100,0.0,73100,36000,SUV
162,45,Female,Salaried,Married,Graduate,3,Yes,No,No,72500,0.0,72500,51000,SUV
163,45,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,71300,0.0,71300,42000,Sedan
164,45,Male,Business,Married,Graduate,1,Yes,No,No,56700,0.0,56700,54000,Sedan
165,45,Male,Salaried,Married,Graduate,2,No,No,No,55100,0.0,55100,65000,SUV
166,45,Male,Business,Married,Graduate,4,No,No,No,55500,0.0,55500,61000,SUV
167,45,Female,Salaried,Single,Graduate,2,Yes,No,No,55700,0.0,55700,36000,Sedan
168,45,Female,Salaried,Married,Graduate,2,No,No,No,54000,0.0,54000,54000,Sedan
169,44,Female,Salaried,Married,Graduate,3,Yes,No,Yes,55900,70300.0,126200,59000,SUV
170,44,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,85300,38700.0,124000,41000,Sedan
171,44,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,81500,40600.0,122100,37000,Sedan
172,44,Female,Business,Married,Graduate,4,No,No,Yes,48600,70800.0,119400,67000,SUV
173,44,Male,Business,Married,Post Graduate,2,No,No,Yes,80000,38300.0,118300,41000,Sedan
174,44,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,79700,38900.0,118600,41000,Sedan
175,44,Male,Salaried,Married,Graduate,3,No,No,Yes,46900,70600.0,117500,59000,SUV
176,44,Female,Salaried,Married,Post Graduate,2,No,No,Yes,76000,40200.0,116200,50000,Sedan
177,44,Female,Business,Married,Post Graduate,1,Yes,Yes,Yes,76500,38100.0,114600,48000,Sedan
178,44,Male,Business,Married,Post Graduate,1,Yes,No,Yes,73600,40100.0,113700,44000,Sedan
179,44,Male,Business,Married,Post Graduate,1,Yes,No,Yes,74600,38700.0,113300,44000,Sedan
180,44,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,71600,38900.0,110500,43000,Sedan
181,44,Male,Business,Married,Post Graduate,2,Yes,No,Yes,79400,23200.0,102600,50000,Sedan
182,44,Male,Business,Married,Graduate,2,No,No,Yes,57300,38200.0,95500,49000,Sedan
183,44,Female,Salaried,Married,Graduate,2,No,Yes,Yes,56500,38700.0,95200,41000,SUV
184,44,Female,Business,Married,Graduate,2,Yes,No,Yes,54200,40300.0,94500,35000,Sedan
185,44,Female,Business,Married,Post Graduate,2,Yes,Yes,No,85900,0.0,85900,49000,SUV
186,44,Female,Salaried,Married,Graduate,1,Yes,No,Yes,60200,24700.0,84900,41000,Sedan
187,44,Female,Business,Single,Post Graduate,2,No,No,No,84000,0.0,84000,31000,Sedan
188,44,Male,Salaried,Married,Post Graduate,1,Yes,No,No,83300,0.0,83300,54000,Sedan
189,44,Female,Salaried,Married,Post Graduate,1,No,No,No,83800,0.0,83800,53000,Sedan
190,44,Male,Business,Single,Post Graduate,2,No,No,No,82500,0.0,82500,44000,Sedan
191,44,Female,Salaried,Married,Graduate,1,Yes,No,Yes,50500,30800.0,81300,32000,Sedan
192,44,Male,Business,Married,Post Graduate,1,Yes,No,No,79300,0.0,79300,33000,Sedan
193,44,Male,Salaried,Married,Graduate,3,No,No,Yes,50300,28100.0,78400,60000,SUV
194,44,Male,Salaried,Married,Post Graduate,1,Yes,No,No,77200,0.0,77200,39000,Sedan
195,44,Female,Salaried,Married,Post Graduate,1,Yes,No,No,76700,0.0,76700,51000,SUV
196,44,Male,Salaried,Single,Post Graduate,2,Yes,No,No,76300,0.0,76300,31000,Sedan
197,44,Female,Business,Single,Post Graduate,1,Yes,No,No,73200,0.0,73200,52000,Sedan
198,44,Male,Business,Single,Post Graduate,2,No,Yes,No,73400,0.0,73400,33000,Sedan
199,44,Male,Salaried,Married,Post Graduate,3,No,No,No,72600,0.0,72600,53000,SUV
200,44,Male,Salaried,Married,Post Graduate,1,No,Yes,No,72800,0.0,72800,42000,Sedan
201,44,Male,Salaried,Single,Post Graduate,2,No,No,No,70100,0.0,70100,68000,SUV
202,44,Male,Salaried,Married,Post Graduate,2,Yes,No,No,69600,0.0,69600,57000,SUV
203,44,Male,Salaried,Single,Post Graduate,0,Yes,No,No,68600,0.0,68600,50000,SUV
204,44,Female,Business,Married,Graduate,1,Yes,No,No,65400,0.0,65400,45000,SUV
205,44,Male,Salaried,Married,Graduate,2,No,Yes,No,57100,0.0,57100,51000,Sedan
206,44,Female,Salaried,Married,Graduate,1,Yes,No,No,54600,0.0,54600,49000,SUV
207,44,Female,Salaried,Married,Graduate,2,No,No,No,50400,0.0,50400,65000,SUV
208,44,Female,Business,Single,Graduate,2,No,No,No,49200,0.0,49200,54000,SUV
209,43,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53400,70500.0,123900,64000,SUV
210,43,Female,Business,Married,Post Graduate,1,Yes,No,Yes,84900,38300.0,123200,45000,SUV
211,43,Female,Business,Married,Post Graduate,1,Yes,No,Yes,81500,40700.0,122200,35000,Sedan
212,43,Male,Salaried,Married,Post Graduate,1,No,Yes,Yes,77800,40800.0,118600,39000,Sedan
213,43,Male,Salaried,Married,Post Graduate,2,No,No,Yes,77700,38400.0,116100,42000,Sedan
214,43,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,76100,38000.0,114100,52000,Sedan
215,43,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75200,38300.0,113500,46000,Sedan
216,43,Female,Salaried,Married,Graduate,2,No,No,Yes,52100,60000.0,112100,58000,SUV
217,43,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,84000,23100.0,107100,50000,Sedan
218,43,Male,Salaried,Married,Post Graduate,2,No,No,Yes,75300,30100.0,105400,31000,Sedan
219,43,Male,Business,Married,Graduate,2,No,No,Yes,62700,40800.0,103500,39000,Sedan
220,43,Male,Business,Married,Graduate,1,Yes,No,Yes,59000,38000.0,97000,46000,Sedan
221,43,Male,Salaried,Married,Graduate,1,Yes,Yes,Yes,58100,38400.0,96500,51000,Sedan
222,43,Male,Business,Married,Graduate,1,No,No,Yes,57400,38200.0,95600,54000,Sedan
223,43,Male,Salaried,Married,Graduate,4,No,No,Yes,51600,40500.0,92100,69000,SUV
224,43,Male,Salaried,Married,Graduate,2,No,No,Yes,52700,38500.0,91200,53000,Sedan
225,43,Male,Business,Married,Graduate,2,No,Yes,Yes,56900,30200.0,87100,32000,Sedan
226,43,Male,Business,Married,Post Graduate,2,Yes,Yes,No,82600,0.0,82600,32000,Sedan
227,43,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,78100,0.0,78100,55000,Sedan
228,43,Female,Salaried,Married,Post Graduate,1,No,Yes,No,78000,0.0,78000,32000,Sedan
229,43,Female,Salaried,Married,Graduate,2,Yes,No,Yes,52900,25700.0,78600,39000,SUV
230,43,Male,Business,Single,Post Graduate,1,Yes,No,No,75300,0.0,75300,47000,Sedan
231,43,Female,Salaried,Married,Post Graduate,1,No,No,No,75300,0.0,75300,47000,Sedan
232,43,Female,Salaried,Married,Post Graduate,3,No,No,No,72900,0.0,72900,57000,SUV
233,43,Female,Business,Single,Post Graduate,2,Yes,No,No,72600,0.0,72600,46000,Sedan
234,43,Female,Business,Married,Graduate,2,No,No,No,71100,0.0,71100,62000,SUV
235,43,Male,Salaried,Single,Post Graduate,2,Yes,No,No,71800,0.0,71800,47000,Sedan
236,43,Female,Business,Married,Graduate,1,Yes,Yes,No,62300,0.0,62300,32000,Sedan
237,43,Female,Salaried,Married,Graduate,1,Yes,No,No,61600,0.0,61600,42000,Sedan
238,43,Male,Salaried,Married,Graduate,4,Yes,No,No,54500,0.0,54500,69000,SUV
239,43,Male,Salaried,Married,Graduate,1,Yes,No,No,54900,0.0,54900,35000,Sedan
240,43,Male,Salaried,Married,Graduate,1,Yes,No,No,53600,0.0,53600,48000,Sedan
241,43,Male,Salaried,Single,Graduate,2,Yes,No,No,53300,0.0,53300,33000,Sedan
242,43,Male,Business,Married,Graduate,2,Yes,No,No,51600,0.0,51600,34000,Sedan
243,42,Male,Salaried,Married,Post Graduate,1,Yes,Yes,Yes,85400,40100.0,125500,43000,Sedan
244,42,Male,Salaried,Married,Post Graduate,3,No,No,Yes,74500,50700.0,125200,50000,SUV
245,42,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,83800,38300.0,122100,50000,Sedan
246,42,Female,Salaried,Married,Graduate,4,No,No,Yes,50100,70400.0,120500,65000,SUV
247,42,Female,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,80200,40800.0,121000,39000,SUV
248,42,Male,Salaried,Married,Post Graduate,2,No,No,Yes,78500,40700.0,119200,37000,Sedan
249,42,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75500,200.0,75700,33000,Sedan
250,42,Female,Business,Married,Post Graduate,2,No,No,Yes,74700,40800.0,115500,38000,Sedan
251,42,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73800,38300.0,112100,53000,Sedan
252,42,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,82700,27700.0,110400,43000,Sedan
253,42,Female,Business,Married,Post Graduate,2,No,Yes,Yes,78500,30900.0,109400,32000,SUV
254,42,Female,Business,Married,Post Graduate,2,No,No,Yes,80900,26100.0,107000,32000,SUV
255,42,Female,Salaried,Married,Graduate,1,No,Yes,Yes,59900,45700.0,105600,39000,Sedan
256,42,Male,Business,Married,Graduate,2,Yes,Yes,Yes,56200,38700.0,94900,49000,Sedan
257,42,Female,Salaried,Married,Graduate,2,Yes,No,Yes,56800,38100.0,94900,45000,SUV
258,42,Female,Business,Married,Graduate,2,No,No,Yes,54300,400.0,54700,31000,SUV
259,42,Female,Salaried,Married,Post Graduate,2,No,No,No,83700,0.0,83700,36000,SUV
260,42,Male,Business,Married,Graduate,2,Yes,No,Yes,51000,28200.0,79200,38000,Sedan
261,42,Male,Business,Single,Post Graduate,1,Yes,No,No,77700,0.0,77700,49000,Sedan
262,42,Male,Business,Married,Post Graduate,1,No,No,No,76300,0.0,76300,36000,Sedan
263,42,Male,Salaried,Single,Post Graduate,2,Yes,No,No,76400,0.0,76400,36000,Sedan
264,42,Female,Business,Single,Post Graduate,2,Yes,No,No,73500,0.0,73500,35000,Sedan
265,42,Female,Business,Single,Post Graduate,1,No,No,No,73700,0.0,73700,33000,Sedan
266,42,Female,Salaried,Married,Post Graduate,2,No,No,No,68800,0.0,68800,61000,SUV
267,42,Male,Salaried,Married,Post Graduate,3,No,No,No,68900,0.0,68900,59000,SUV
268,42,Male,Salaried,Single,Graduate,2,No,Yes,No,63800,0.0,63800,41000,Sedan
269,42,Male,Salaried,Married,Graduate,2,Yes,Yes,No,61800,0.0,61800,46000,Sedan
270,42,Female,Salaried,Married,Graduate,2,Yes,No,No,57100,0.0,57100,45000,SUV
271,42,Female,Salaried,Married,Graduate,1,Yes,Yes,No,56200,0.0,56200,47000,Sedan
272,42,Female,Salaried,Single,Graduate,2,No,No,No,53700,0.0,53700,63000,SUV
273,42,Male,Salaried,Married,Graduate,1,Yes,Yes,No,53000,0.0,53000,45000,Sedan
274,42,Male,Salaried,Married,Graduate,3,No,No,No,52300,0.0,52300,57000,SUV
275,42,Female,Salaried,Married,Graduate,1,No,No,No,52500,0.0,52500,49000,SUV
276,42,Male,Business,Married,Graduate,3,Yes,No,No,51800,0.0,51800,59000,SUV
277,41,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87000,70900.0,157900,61000,SUV
278,41,Male,Business,Married,Post Graduate,3,No,No,Yes,67200,70000.0,137200,61000,SUV
279,41,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,85500,38800.0,124300,52000,Sedan
280,41,Male,Business,Married,Post Graduate,1,No,Yes,Yes,75900,40100.0,116000,43000,Sedan
281,41,Female,Salaried,Married,Post Graduate,3,No,No,Yes,69100,45200.0,114300,67000,SUV
282,41,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,70200,38300.0,108500,54000,Sedan
283,41,Female,Business,Married,Post Graduate,1,Yes,Yes,Yes,82900,26800.0,109700,45000,Sedan
284,41,Female,Business,Married,Post Graduate,2,No,No,Yes,70500,35300.0,105800,33000,Sedan
